"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Exposing Oneself or Another With Contagious Disease in Public Place","Title 21","21-1199",1910,"21-1199",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Falsities Affecting Market Price of Property","Title 21","21-1200",1910,"21-1200",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Falsities in Newspapers","Title 21","21-1201",1910,"21-1201",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Penalty for Eavesdropping","Title 21","21-1202",1910,"21-1202",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Littering on Highways/County Roads","Title 21","21-1205",1993,"21-1206",1945,"Unspecified","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Abandonment of Refrigerator or Icebox in Place Accessible to Children","Title 21","21-1208",1955,"21-1208",1955,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Drivers of Vehicles Prohibited from Driving Near Disaster Areas","Title 21","21-1211",1959,"21-1213",2012,"Misdemeanor","0","1","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"Interruption, Disruption, or Interference With Emergency Telephone Call","Title 21","21-1211.1",2004,"21-1211.1",2004,"Misdemeanor","0","1","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"Persons Prohibited From Going to Disaster Area","Title 21","21-1212",1959,"21-1213",2012,"Misdemeanor","0","1","0","3000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL USE OF POLICE RADIO","Title 21","21-1214",1999,"21-1214",1999,"Felony","0","3","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"INTERFERING WITH FIREMAN","Title 21","21-1217",1999,"21-1217",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Display of Names of Military Dead at Demonstrations or Protests Without Consent (First Offense)","Title 21","21-1218",1970,"21-1219",1970,"Misdemeanor","30 days","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Display of Names of Military Dead at Demonstrations or Protests Without Consent (Second or Subsequent Offense)","Title 21","21-1218",1970,"21-1219",1970,"Misdemeanor","1","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRANSPORTING OPEN CONTAINER - BEER","Title 21","21-1220",2006,"21-1220",2006,"Misdemeanor","Unspecified","Unspecified","100","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Buying, Selling, Furnishing, Manufacturing, or Possessing Alcohol Inhalation Device or Alcohol Infuser","Title 21","21-1220.1",2005,"21-1220.1",2005,"Misdemeanor","Unspecified","Unspecified","5000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Infected or Diseased Domestic Animals","Title 21","21-1221",1910,"21-1221",1910,"Unspecified","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Duty to Dispose of Domestic Animals Dying of a Contagious or Infectious Disease","Title 21","21-1222",1910,"21-1224",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Leaving Carcass in Certain Places","Title 21","21-1223",1955,"21-1224",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unclean Slaughterhouses","Title 21","21-1225",1910,"21-1225",1910,"Unspecified","Unspecified","Unspecified","5","25","No","Nonspecific","Not Applicable","Not Applicable"
"Selling or Buying Infected Carcasses","Title 21","21-1226",1910,"21-1226",1910,"Unspecified","0","30 days","0","50","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Disposition, Sale or Transportation of Infected Swine","Title 21","21-1227",1910,"21-1228",1910,"Misdemeanor","0","30 days","0","50","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Injecting Drugs or Chemicals into Livestock (First Offense)","Title 21","21-1229",1999,"21-1229",1999,"Misdemeanor","30 days","1","1000","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Injecting Drugs or Chemicals into Livestock (Second or Subsequent Offense)","Title 21","21-1229",1999,"21-1229",1999,"Felony","1","5","1000","10000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL TRANSPORTATION OF HAZARDOUS WASTE","Title 21","21-1230.3",1993,"21-1230.8.1",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL TRANSPORTATION OF HAZARDOUS WASTE (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.3",1993,"21-1230.9",1993,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL WASTE MANAGEMENT - NONHAZARDOUS","Title 21","21-1230.4",1993,"21-1230.8.2a",1999,"Misdemeanor","Unspecified","Unspecified","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL WASTE MANAGEMENT - HAZARDOUS","Title 21","21-1230.4",1993,"21-1230.8.2b",1999,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL WASTE MANAGEMENT - HAZARDOUS (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.4",1993,"21-1230.9",1993,"Felony","0","5","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL WASTE MANAGEMENT - NONHAZARDOUS (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.4",1993,"21-1230.9",1993,"Misdemeanor","Unspecified","Unspecified","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL FALSE STATEMENTS AND ACTS CONCERNING PERMITS AND WASTE - NONHAZARDOUS","Title 21","21-1230.5",1993,"21-1230.8.3a",1999,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL FALSE STATEMENTS AND ACTS CONCERNING PERMITS AND WASTE - HAZARDOUS","Title 21","21-1230.5",1993,"21-1230.8.3b",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL FALSE STATEMENTS AND ACTS CONCERNING PERMITS AND WASTE - HAZARDOUS (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.5",1993,"21-1230.9",1993,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL FALSE STATEMENTS AND ACTS CONCERNING PERMITS AND WASTE - NONHAZARDOUS (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.5",1993,"21-1230.9",1993,"Misdemeanor","Unspecified","Unspecified","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL DISPOSAL OF HAZARDOUS WASTE","Title 21","21-1230.6",1993,"21-1230.8.4",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL DISPOSAL OF HAZARDOUS WASTE (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.6",1993,"21-1230.9",1993,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL CONCEALMENT OF HAZARDOUS WASTE","Title 21","21-1230.7",1993,"21-1230.8.5",1999,"Felony","2","10","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL CONCEALMENT OF HAZARDOUS WASTE (SECOND/SUBSEQUENT VIOLATION OR RENUMERATION)","Title 21","21-1230.7",1993,"21-1230.9",1993,"Felony","2","10","0","200000","No","Nonspecific","Not Applicable","Not Applicable"
"Furnishing Tobacco or Vapor Products to Minors","Title 21","21-1241",2014,"21-1241",2014,"Misdemeanor","10 days","90 days","25","200","No","Nonspecific","Not Applicable","Not Applicable"
"Refusal of Minor to Disclose Place Where and Person from Whom Obtained","Title 21","21-1242",2014,"21-1242",2014,"Misdemeanor","0","5 days","0","5","No","Nonspecific","Not Applicable","Not Applicable"
"Smoking in Certain Public Places","Title 21","21-1247",2017,"21-1247",2017,"Citation","Unspecified","Unspecified","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Failure of Duty to Ring Bell","Title 21","21-1253",1910,"21-1253",1910,"Unspecified","0","60 days","0","50","No","Nonspecific","Not Applicable","Not Applicable"
"Intoxication by Engineer or Conductor","Title 21","21-1254",1910,"21-1254",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Violation of Duty by Engineer, Conductor, or Other","Title 21","21-1255",1910,"21-1255",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Advocating or Teaching Necessity, etc., of Crime, Criminal Syndicalism or Sabotage - Printing, Publishing, etc., Books, Pamphlets, etc. - Organizing or Becoming Member of Society or Assembly","Title 21","21-1263",1999,"21-1263",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Permitting Use of Building for Assemblies in Violation of Section 1263","Title 21","21-1264",1919,"21-1264",1919,"Misdemeanor","60 days","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Interfering or Hindering Preparations for Defense","Title 21","21-1265.2",1999,"21-1265.2",1999,"Felony","1","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Interfering or Hindering Preparations for Defense (Intent)","Title 21","21-1265.2",1999,"21-1265.4",1999,"Felony","6 months","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Making Defective Articles","Title 21","21-1265.3",1999,"21-1265.3",1999,"Felony","1","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Making Defective Articles (Intent)","Title 21","21-1265.3",1999,"21-1265.4",1999,"Felony","6 months","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Public Utilities-Entry Without Permission (Intent)","Title 21","21-1265.7",1941,"21-1265.4",1999,"Unspecified","0","5 days","0","25","No","Nonspecific","Not Applicable","Not Applicable"
"Public Utilities-Entry Without Permission","Title 21","21-1265.7",1941,"21-1265.7",1941,"Unspecified","0","10 days","0","50","No","Nonspecific","Not Applicable","Not Applicable"
"Petition by Manufacturers of War Products to Close Highways for Public Use and Travel","Title 21","21-1265.9",1941,"21-1265.10",1941,"Unspecified","0","10 days","0","50","No","Nonspecific","Not Applicable","Not Applicable"
"Petition by Manufacturers of War Products to Close Highways for Public Use and Travel (Intent)","Title 21","21-1265.9",1941,"21-1265.4",1999,"Unspecified","0","5 days","0","25","No","Nonspecific","Not Applicable","Not Applicable"
"Advocating Revolution, Sabotage, Treason, etc. a Felony","Title 21","21-1266",1999,"21-1266",1999,"Felony","5","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Unlawful Acts Related to Communist Party","Title 21","21-1266.4",1955,"21-1266.5",1999,"Felony","1","20","0","20000","No","Applicable","Not Applicable","Not Applicable"
"Organization to Overthrow United States or State Governments","Title 21","21-1267.1",1998,"21-1267.1",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ACT OF TERRORISM","Title 21","21-1268.2.B",2016,"21-1268.2.B",2016,"Felony","0","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ACT OF TERRORISM (CAUSING DEATH)","Title 21","21-1268.2.C",2016,"21-701.9.A.1",2017,"Felony","Life","Death","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ACT OF TERRORISM (BIOCHEMICAL)","Title 21","21-1268.2.D",2016,"21-1268.2.D",2016,"Felony","0","Life","See Statute","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"CONSPIRACY TO COMMIT TERRORISM","Title 21","21-1268.3",2002,"21-1268.3",2002,"Felony","0","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"TERRORISM HOAX","Title 21","21-1268.4",2002,"21-1268.4",2002,"Felony","0","10","Restitution","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"BIOCHEMICAL ASSAULT (NOT TOXIC, NOXIOUS, OR LETHAL TO HUMANS)","Title 21","21-1268.5",2002,"21-1268.5.B",2002,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"BIOCHEMICAL ASSAULT (TOXIC, NOXIOUS, OR LETHAL TO HUMANS)","Title 21","21-1268.5",2002,"21-1268.5.C",2002,"Felony","0","10","Restitution","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"Manufacturing, Delivering, or Possessing Toxic or Lethal Substances with Intent to Engage in Terrorist Activities","Title 21","21-1268.6",2002,"21-1268.6",2002,"Felony","0","8","Restitution","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"Conducting or Attempting to Conduct Financial Transaction Involving Property Related to Terrorism","Title 21","21-1268.7",2010,"21-1268.7B",2010,"Felony","2","10","50000","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Use of Money Services and Electronic Transfer in Violation of Oklahoma Antiterrorism Act","Title 21","21-1268.8",2010,"21-1268.8",2010,"Felony","2","10","50000","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPONS UNLAWFULLY (FIRST OFFENSE)","Title 21","21-1272",2018,"21-1276",2012,"Misdemeanor","0","30 days","150","300","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPONS UNLAWFULLY (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-1272",2018,"21-1276",2012,"Misdemeanor","30 days","3 months","300","550","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPON WHERE ALCOHOL IS SERVED","Title 21","21-1272.1",2012,"21-1272.2",2012,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"SELL OR GIVE WEAPON TO MINOR (FIRST OFFENSE)","Title 21","21-1273",2014,"21-1276",2012,"Misdemeanor","0","30 days","150","300","No","Nonspecific","Not Applicable","Not Applicable"
"SELL OR GIVE WEAPON TO MINOR (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-1273",2014,"21-1276",2012,"Misdemeanor","30 days","3 months","300","550","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL CARRY IN CERTAIN PLACES (COLLEGE/UNIVERSITY/TECHNOLOGY CENTER)","Title 21","21-1277",2019,"21-1277.E.1",2019,"Misdemeanor","Unspecified","Unspecified","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL CARRY IN CERTAIN PLACES (COLLEGE/UNIVERSITY/TECHNOLOGY CENTER, WILLFULL TRESPASSING)","Title 21","21-1277",2019,"21-1277.E.2",2019,"Misdemeanor","Unspecified","Unspecified","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPON W/UNLAWFUL INTENT","Title 21","21-1278",2012,"21-1278",2012,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPON W/UNLAWFUL INTENT (SELF-DEFENSE ACT VIOLATION)","Title 21","21-1278",2012,"21-1278",2012,"Felony","0","2","1000","6000","No","Nonspecific","Not Applicable","Not Applicable"
"POINTING WEAPON AT ANOTHER","Title 21","21-1279",2013,"21-1280",1995,"Misdemeanor","3 months","12 months","100","1050","No","Nonspecific","Not Applicable","Not Applicable"
"POSS OF WEAPON ON SCHOOL PROPERTY","Title 21","21-1280.1",2015,"21-1280.1",2015,"Misdemeanor","Unspecified","Unspecified","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"Manufacturing, Selling or Disposing of Slung Shot","Title 21","21-1281",1910,"21-1281",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Use of a Slung Shot","Title 21","21-1282",1998,"21-1282",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"CON/FELONS PROHIB/CARRY FIREARMS (ENABLE)","Title 21","21-1283",2014,"21-1283.E",2014,"Felony","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CON/FELONS PROHIB/CARRY FIREARMS (ENGAGE)","Title 21","21-1283",2014,"21-1284",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"USING OFFENSIVE WEAPON IN FELONY (FIRST OFFENSE)","Title 21","21-1287",2012,"21-1287",2012,"Felony","2","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"USING OFFENSIVE WEAPON IN FELONY (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-1287",2012,"21-1287",2012,"Felony","10","30","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"POSSESSION OF OFFENSIVE WEAPON IN FELONY ATTEMPT","Title 21","21-1287.1",1999,"21-1287.1",1999,"Felony","10","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Furnishing Firearms to Incompetent Persons","Title 21","21-1289.10",2012,"21-1289.15",1995,"Adjudication","10 days","6 months","50","550","No","Nonspecific","Not Applicable","Not Applicable"
"RECKLESS CONDUCT WITH FIREARM","Title 21","21-1289.11",2012,"21-1289.15",1995,"Adjudication","10 days","6 months","50","1500","No","Nonspecific","Not Applicable","Not Applicable"
"Giving Firearms to Convicted Persons","Title 21","21-1289.12",2012,"21-1289.15",1995,"Adjudication","10 days","6 months","50","550","No","Nonspecific","Not Applicable","Not Applicable"
"TRANSPORTING LOADED FIREARM IN MOTOR VEH","Title 21","21-1289.13",2012,"21-1289.15",1995,"Adjudication","10 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Improper Transportation of Firearms","Title 21","21-1289.13.A",2012,"21-1289.13.A",2012,"Citation","Unspecified","Unspecified","See Statute","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"POINTING FIREARM","Title 21","21-1289.16",2017,"21-1289.17",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DISCHARGING FIREARM INTO DWELLING/PUBLIC BUILDING/BUSINESS","Title 21","21-1289.17.A",1999,"21-1289.17.A",1999,"Felony","2","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"POSS. SAWED-OFF SHOTGUN/RIFLE","Title 21","21-1289.18",1999,"21-1289.18",1999,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Manufacture of Restricted Bullets","Title 21","21-1289.20",1999,"21-1289.20.B",1999,"Felony","0","10","500","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Possession/use of restricted bullets","Title 21","21-1289.21",1999,"21-1289.21.B",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"WEARING BODY ARMOR IN COMMITTING FELONY (FIRST OFFENSE)","Title 21","21-1289.26",1999,"21-1289.26",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"WEARING BODY ARMOR IN COMMITTING FELONY (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-1289.26",1999,"21-1289.26",1999,"Felony","0","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Prohibiting Firearm Inquiry by Employer","Title 21","21-1289.27",2009,"21-1289.27",2009,"Misdemeanor","Unspecified","Unspecified","0","10","No","Applicable","Not Applicable","Not Applicable"
"Unlawful Actions Related to Licensed Dealers and Private Sellers of Firearms","Title 21","21-1289.28",2011,"21-1289.28",2011,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CARRYING WEAPON (RETIRED PEACE OFFICER)","Title 21","21-1289.8.F",2018,"21-1276",2012,"Misdemeanor","0","30 days","150","300","No","Applicable","Not Applicable","Not Applicable"
"Carrying Weapon Under the Influence of Alcohol","Title 21","21-1289.9",2012,"21-1289.15",1995,"Adjudication","10 days","6 months","50","550","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFULLY WEARING MASK OR HOOD","Title 21","21-1301",2007,"21-1301",2007,"Misdemeanor","0","1","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"ENTERING PREMISES WHILE MASKED","Title 21","21-1302",1999,"21-1302",1999,"Felony","1","5","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"ASSAULT WHILE MASKED OR DISGUISED","Title 21","21-1303",1999,"21-1303",1999,"Felony","5","20","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"TRANSMIT THREATENING LETTER","Title 21","21-1304",1999,"21-1304",1999,"Felony","90 days","1","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"UNCONSTITUTIONAL OATHS","Title 21","21-1306",1999,"21-1306",1999,"Unspecified","Unspecified","Unspecified","1000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"RIOT (FOR THE PURPOSE OF GOVERNMENT/POLICE RESISTANCE)","Title 21","21-1311",1910,"21-1312.2",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"RIOT (PARTICIPATION WHILE CARRYING DANGEROUS WEAPONS OR WHILE MASKED)","Title 21","21-1311",1910,"21-1312.3",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"RIOT (DIRECT/ADVISE/ENCOURAGE/SOLICIT OTHER PARTICIPANTS)","Title 21","21-1311",1910,"21-1312.4",1999,"Felony","2","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Penalty for Rout or Unlawful Assembly","Title 21","21-1313",1910,"21-1315",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Penalty for Rout or Unlawful Assembly","Title 21","21-1314",1910,"21-1315",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Remaining After Warning to Disperse","Title 21","21-1316",1910,"21-1316",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Lawful Assembly Proceeding to Riot","Title 21","21-1317",1910,"21-1317",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Person Refusing to Aid Officers Deemed Rioter (FOR THE PURPOSE OF GOVERNMENT/POLICE RESISTANCE)","Title 21","21-1318",1910,"21-1312.2",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Person Refusing to Aid Officers Deemed Rioter (PARTICIPATION WHILE CARRYING DANGEROUS WEAPONS OR WHILE MASKED)","Title 21","21-1318",1910,"21-1312.3",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Person Refusing to Aid Officers Deemed Rioter (DIRECT/ADVISE/ENCOURAGE/SOLICIT OTHER PARTICIPANTS)","Title 21","21-1318",1910,"21-1312.4",1999,"Felony","2","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Resisting execution of legal process","Title 21","21-1319",1910,"21-1319",1910,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Teaching, Demonstrating or Training in the Use of Firearms, Explosives or Incendiary Devices in Furtherance of Riot or Civil Disorder","Title 21","21-1320.10",1998,"21-1320.10",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"INCITEMENT TO RIOT","Title 21","21-1320.2",1969,"21-1320.4",1999,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Penalty for Unlawful Assembly","Title 21","21-1320.3",1969,"21-1320.5",1999,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"RIOTOUS ACTS WHICH MAY BE PROCLAIMED PROHIBITED","Title 21","21-1321.4",2012,"21-1321.6",1968,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"ENDANGER REAL/PERS PROP/MALICIOUS INJURY","Title 21","21-1321.7",1999,"21-1321.7",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"RIOT DURING A STATE OF EMERGENCY","Title 21","21-1321.8",1999,"21-1321.8",1999,"Felony","2","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Advocating of Unlawfulness, Criminal Syndicalism, Sabotage, Sedition or Treason Upon Public School Grounds Prohibited (ANY PERSON)","Title 21","21-1327",1999,"21-1327",1999,"Felony","2","10","5000","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Teaching of Unlawfulness, Criminal Syndicalism, Sabotage, Sedition or Treason Upon Public School Grounds (ANY PERSON OLDER THAN 18)","Title 21","21-1327",1999,"21-1327",1999,"Felony","10","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Procuring Violence During Forcible Entry and Detainer","Title 21","21-1351",1910,"21-1351",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Returning to Reside on Lands after Lawful Removal","Title 21","21-1352",1910,"21-1352",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"SQUATTING","Title 21","21-1353",1910,"21-1353",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Disturbing Assembly or Meeting","Title 21","21-1361",1910,"21-1361",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Disturbance by Loud or Unusual Noise or Abusive, Violent, Obscene, Profane or Threatening Language","Title 21","21-1362",1968,"21-1362",1968,"Misdemeanor","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Use of Language Calculated to Arouse Anger or Cause Breach of Peace","Title 21","21-1363",1910,"21-1363",1910,"Unspecified","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"DISCHARGING FIREARMS IN PUBLIC PLACE","Title 21","21-1364",2012,"21-1364",2012,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Riding Railroad without Authority","Title 21","21-1365",1910,"21-1365",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"POSS OF EXPLOSIVES BY CONV FELON","Title 21","21-1368",1999,"21-1368",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Orders to Leave Institutions of Learning - Grounds","Title 21","21-1376",2001,"21-1376",2001,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Projecting Object at Public Event","Title 21","21-1377",1978,"21-1377",1978,"Misdemeanor","Unspecified","Unspecified","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Planning or Threatening Violent Act (attempt/conspire/endeavor)","Title 21","21-1378.A",2004,"21-1378.A",2004,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
